"id","code","name"
classification_5520,"5520","Actividades de zonas de camping y parques para vehículos recreacionales"
classification_5530,"5530","Servicio por horas"
classification_5590,"5590","Otros tipos de alojamiento n.c.p."
classification_5611,"5611","Expendio a la mesa de comidas preparadas"
classification_5612,"5612","Expendio por autoservicio de comidas preparadas"
classification_5613,"5613","Expendio de comidas preparadas en cafeterías"
classification_5619,"5619","Otros tipos de expendio de comidas preparadas n.c.p."
classification_5621,"5621","Catering para eventos"
classification_5629,"5629","Actividades de otros servicios de comidas"
classification_5630,"5630","Expendio de bebidas alcohólicas para el consumo dentro del establecimiento"
classification_5811,"5811","Edición de libros"
classification_5812,"5812","Edición de directorios y listas de correo"
classification_5813,"5813","Edición de periódicos, revistas y otras publicaciones periódicas"
classification_5819,"5819","Otros trabajos de edición"
classification_5820,"5820","Edición de programas de informática (software)"
classification_5911,"5911","Actividades de producción de películas cinematográficas, videos, programas, anuncios y comerciales de televisión"
classification_5912,"5912","Actividades de posproducción de películas cinematográficas, videos, programas, anuncios y comerciales de televisión"
classification_5913,"5913","Actividades de distribución de películas cinematográficas, videos, programas, anuncios y comerciales de televisión"
classification_5914,"5914","Actividades de exhibición de películas cinematográficas y videos"
classification_5920,"5920","Actividades de grabación de sonido y edición de música"
classification_6010,"6010","Actividades de programación y transmisión en el servicio de radiodifusión sonora"
classification_6020,"6020","Actividades de programación y transmisión de televisión"
classification_6110,"6110","Actividades de telecomunicaciones alámbricas"
classification_6120,"6120","Actividades de telecomunicaciones inalámbricas"
classification_6130,"6130","Actividades de telecomunicación satelital"
classification_6190,"6190","Otras actividades de telecomunicaciones"
classification_6201,"6201","Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)"
classification_6202,"6202","Actividades de consultoría informática y actividades de administración de instalaciones informáticas"
classification_6209,"6209","Otras actividades de tecnologías de información y actividades de servicios informáticos"
classification_6311,"6311","Procesamiento de datos, alojamiento (hosting) y actividades relacionadas"
classification_6312,"6312","Portales web"
classification_6391,"6391","Actividades de agencias de noticias"
classification_6399,"6399","Otras actividades de servicio de información n.c.p."
classification_6411,"6411","Banco Central"
classification_6412,"6412","Bancos comerciales"
classification_6421,"6421","Actividades de las corporaciones financieras"
classification_6422,"6422","Actividades de las compañías de financiamiento"
classification_6423,"6423","Banca de segundo piso"
classification_6424,"6424","Actividades de las cooperativas financieras"
classification_6431,"6431","Fideicomisos, fondos y entidades financieras similares"
classification_6432,"6432","Fondos de cesantías"
classification_6491,"6491","Leasing financiero (arrendamiento financiero)"
classification_6492,"6492","Actividades financieras de fondos de empleados y otras formas asociativas del sector solidario"
classification_6493,"6493","Actividades de compra de cartera o factoring"
classification_6494,"6494","Otras actividades de distribución de fondos"
classification_6495,"6495","Instituciones especiales oficiales"
classification_6496,"6496","Capitalización"
classification_6499,"6499","Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p."
classification_6511,"6511","Seguros generales"
classification_6512,"6512","Seguros de vida"
classification_6513,"6513","Reaseguros"
classification_6515,"6515","Seguros de salud"
classification_6521,"6521","Servicios de seguros sociales de salud"
classification_6522,"6522","Servicios de seguros sociales de riesgos profesionales"
